turbine,controllertime,modifiedtime,turok,atpwrin,atpwrout,reactpwrin,reactpwrout
"58C126FA-9CA7-4915-ABFC-2DEBE29FB32C","2024-02-15T23:40:00","2024-02-15T18:19:00",71698.0,60287.0,18563742.0,417388.0,513822.0
"24207292-7C8A-4A70-A7AD-2E5CC789E623","2024-02-15T23:40:00","2024-02-15T18:18:00",119138.4,39560.0,42461503.0,1136142.0,2164986.0
"5786F562-6BC6-4363-B83C-2E8E5D9C290F","2024-02-15T23:40:00","2024-02-15T18:19:00",95620.1,44451.0,33447114.0,734556.0,1625807.0
"A279ABB3-1320-4678-A47B-2FA82E33217E","2024-02-15T23:40:00","2024-02-15T18:19:00",118008.5,33817.0,43605078.0,1297201.0,1484396.0
"48215950-9D66-4CBF-BBF7-2FBDEDDD204F","2024-02-15T23:40:00","2024-02-15T18:19:00",4996.8,2766.0,607836.0,16948.0,59746.0
"A9910BCE-45C5-4908-AD76-30C26D690DD5","2024-02-15T23:40:00","2024-02-15T18:19:00",115804.6,25773.0,41918606.0,631388.0,1555210.0
"E2E449E4-DD85-4484-864B-321D777987AB","2024-02-15T23:40:00","2024-02-15T18:19:00",118534.7,23308.0,40468601.0,886552.0,2088713.0
"27264B6E-3005-4A9C-ACD6-33E2FC421FAA","2024-02-15T23:40:00","2024-02-15T18:18:00",103026.1,42087.0,28776647.0,459088.0,775090.0
"388BF813-8C3E-4512-A3B9-33EE610BDDAE","2024-02-15T23:40:00","2024-02-15T18:18:00",129032.5,39482.0,41643039.0,768672.0,1098009.0
"3A80FEE5-4380-47D6-84A4-362CFF083ED6","2024-02-15T22:40:00","2024-02-15T18:20:00",28807.7,31876.0,10336836.0,187180.0,361906.0
"97E0B176-AD7C-4F13-83C2-3693B32E20FA","2024-02-15T23:40:00","2024-02-15T18:19:00",123854.8,33849.0,53178131.0,570981.0,2065430.0
"2A4A05F5-7C32-4829-BF66-394AC3C32E9E","2024-02-15T23:40:00","2024-02-15T18:24:00",125549.5,28317.0,20380157.0,278675.0,3076802.0
"1A589115-6300-40A7-AA38-39FA6AFF0C3F","2024-02-15T23:40:00","2024-02-15T18:22:00",121186.9,47243.0,38695662.0,562182.0,1556829.0
"C1DC4111-D1D1-4B97-B5A9-3A40BED43D37","2024-02-15T23:40:00","2024-02-15T18:19:00",109719.9,21376.0,38518291.0,713501.0,1863298.0
"B683C671-7279-4A03-A37C-3BD5FC0B1617","2024-02-15T23:30:00","2024-02-15T18:18:00",117331.4,39111.0,41044846.0,613810.0,1017850.0
"FD298C69-E56C-4198-95C7-3BFFBCEDF2DF","2024-02-15T23:40:00","2024-02-15T18:19:00",126715.5,19871.0,49814275.0,835423.0,1666588.0
"610F71AF-8979-40C9-B5E2-3CA1C68486A4","2024-02-15T23:40:00","2024-02-15T18:19:00",105739.6,11106.0,40118178.0,1385027.0,1302499.0
"84DAF43B-DB9B-40E9-8D9F-3CEE41C4657A","2024-02-15T23:50:00","2024-02-15T18:23:00",107671.6,14051.0,18940269.0,573731.0,1149971.0
"9056CD7F-B3ED-45BB-9F0F-3D6E1BEC267B","2024-02-15T23:20:00","2024-02-15T18:20:00",15918.8,8822.0,1525840.0,58649.0,122707.0
"DFF2A060-23FB-4544-996C-3D773BD458CA","2024-02-16T00:00:00","2024-02-15T18:19:00",1756.8,2000.0,87364.0,11354.0,20728.0
"DFF2A060-23FB-4544-996C-3D773BD458CA","2024-02-16T00:10:00","2024-02-15T18:19:00",1757.0,2000.0,87394.0,11360.0,20734.0
"A059649A-D916-4979-BF2E-3DDB160B1077","2024-02-15T23:50:00","2024-02-15T18:25:00",110933.8,23819.0,39337403.0,613470.0,1453367.0
"4B786525-48F9-40B2-889F-3E97C6193C7F","2024-02-15T23:40:00","2024-02-15T18:23:00",107168.2,12736.0,19636306.0,517253.0,1109683.0
"CF6B020B-DC71-493A-B80D-3FE8B7EFB4C0","2024-02-15T23:40:00","2024-02-15T18:23:00",66143.7,34293.0,21763559.0,383692.0,815021.0
"98D15AED-C8F9-43B5-B643-4222B065C274","2024-02-15T23:40:00","2024-02-15T18:19:00",114057.9,16463.0,42335043.0,788372.0,2236350.0
"C58241A1-804B-4DB8-A462-42983FCAC259","2024-02-15T23:40:00","2024-02-15T18:23:00",120735.6,23881.0,42282399.0,634446.0,1617203.0
"E4F723FE-8577-4181-8BC0-42B65C4E8F0F","2024-02-15T23:30:00","2024-02-15T18:19:00",18031.0,11863.0,1935876.0,80881.0,114154.0
"D53A9944-7A42-4E72-8C9A-4311E4BA084F","2024-02-15T23:40:00","2024-02-15T18:18:00",131636.5,9043.0,57279008.0,1291135.0,1803887.0
"5D79C887-A850-4259-BE17-434F73280F05","2024-02-15T23:40:00","2024-02-15T18:24:00",15299.7,10478.0,4778032.0,82874.0,174906.0
"8731E697-D98B-4F91-948D-43B568E63F4A","2024-02-15T23:40:00","2024-02-15T18:18:00",129495.7,17779.0,54037590.0,940817.0,2030036.0
"B664473E-D405-479D-9C1A-43BA49D1E403","2024-02-15T23:40:00","2024-02-15T18:25:00",21911.7,16510.0,7666630.0,103151.0,276123.0
"6201FBAC-A3BB-404A-A7BF-45AB63F40028","2024-02-15T23:40:00","2024-02-15T18:20:00",121507.9,25219.0,41916662.0,786354.0,1077267.0
"FBF55AFE-7102-45BB-AACD-463D0F1B6BAF","2024-02-15T23:40:00","2024-02-15T18:20:00",10686.6,7697.0,851985.0,41452.0,66285.0
"556FAAB6-BE52-4A43-ABFE-472B3C17D188","2024-02-15T23:40:00","2024-02-15T18:25:00",117271.2,24424.0,14923444.0,285528.0,2527151.0
"6EDA52F4-C0A2-4338-86BE-47DED02BBA24","2024-02-15T23:40:00","2024-02-15T18:19:00",106625.5,12874.0,25214266.0,669524.0,2462598.0
"934147A8-E455-4FAA-8A75-49245484A138","2024-02-16T00:10:00","2024-02-15T18:19:00",117660.0,36432.0,45054790.0,817996.0,1376868.0
"934147A8-E455-4FAA-8A75-49245484A138","2024-02-16T00:20:00","2024-02-15T18:19:00",117660.2,36432.0,45054807.0,817996.0,1376870.0
"C4594969-CE16-4C20-8A1D-49A45ACD5EB5","2024-02-15T23:30:00","2024-02-15T18:18:00",25384.7,28376.0,5886554.0,100490.0,169251.0
"B5BA4C2D-338E-4D3A-80F8-4AF09223EB49","2024-02-15T22:40:00","2024-02-15T18:19:00",45505.0,25868.0,18230277.0,579713.0,618812.0
"8EF08BE6-4EF9-4A93-8866-4BF91538AA4E","2024-02-15T23:50:00","2024-02-15T18:24:00",8298.6,8212.0,2594060.0,31058.0,104292.0
"6393F44A-443D-450A-B46A-4D3194560810","2024-02-15T23:40:00","2024-02-15T18:20:00",2882.7,2336.0,55098.0,8987.0,7796.0
"8CEBD0FF-2577-4B6A-BCB4-4D5C907C1F8A","2024-02-15T23:40:00","2024-02-15T18:19:00",66458.1,21812.0,25534380.0,329545.0,1000188.0
"D6D52C66-17DA-46CD-B004-4DC5D4045655","2024-02-15T23:30:00","2024-02-15T18:18:00",128029.6,49275.0,36694278.0,622159.0,1036408.0
"8A774CD0-169F-46F8-8DEE-4E61662341C6","2024-02-15T23:50:00","2024-02-15T18:25:00",124458.8,29860.0,19753825.0,372847.0,2856700.0
"50B2F6A6-2C14-48A4-A31F-50011512DC61","2024-02-15T23:40:00","2024-02-15T18:20:00",130282.9,37856.0,45774131.0,646323.0,1133051.0
"185249C9-7D67-4681-B092-502C4E2F8BDD","2024-02-16T00:00:00","2024-02-15T18:19:00",113057.1,18243.0,25852160.0,516188.0,1882051.0
"185249C9-7D67-4681-B092-502C4E2F8BDD","2024-02-16T00:10:00","2024-02-15T18:19:00",113057.3,18245.0,25852170.0,516188.0,1882051.0
"D55C138D-15D6-4574-8077-518530375406","2024-02-16T00:00:00","2024-02-15T18:19:00",135253.0,16092.0,31625850.0,752629.0,2197719.0
"D55C138D-15D6-4574-8077-518530375406","2024-02-16T00:10:00","2024-02-15T18:19:00",135253.1,16094.0,31625864.0,752631.0,2197725.0
"5433CF2B-FE8A-4B71-92E8-51EAFAD939EB","2024-02-15T23:40:00","2024-02-15T18:20:00",93143.3,39026.0,36881934.0,887620.0,1129688.0
"B94F48A5-D214-4284-A91E-52BFD3ACE2D7","2024-02-15T23:40:00","2024-02-15T18:18:00",118846.0,22497.0,41539879.0,808015.0,2154991.0
"2D2F2636-FCEC-42AB-9094-52EBDC02F28A","2024-02-15T23:40:00","2024-02-15T18:18:00",130080.2,8954.0,58994676.0,1030578.0,1676591.0
"69C92D2D-BACB-47CC-BD53-53B9F738045C","2024-02-15T23:40:00","2024-02-15T18:24:00",116186.0,15699.0,38698117.0,503532.0,975745.0
"872F4195-5291-4659-A4CB-53F9DD2FB4D9","2024-02-15T23:40:00","2024-02-15T18:19:00",114297.6,37531.0,40634589.0,821134.0,2244003.0
